"block","plot","experiment","treatment","effect_year","nr_lov","nr_gran","nr_staende_dodved","nr_tall","nr_all_alive","average_dbh_lov","average_dbh_gran","average_dbh_staende_dodved","average_dbh_tall","average_dbh_all_alive","sd_dbh_all_alive","nr_skarm","laser_median","tspr","perc_gran","perc_lov","perc_tall","perc_skarm","perc_dv","BA_gran","BA_lov","BA_tall","BA_dv","BA"
"stocksatra","plot_125","before","TC",2018,3,5,1,69,77,14.0333333333333,10.82,7.7,18.6594202898551,17.9701298701299,4.33046323446085,233.427249868113,17.3,3,0.0649350649350649,0.038961038961039,0.896103896103896,0.285714285714286,0.0128205128205128,0.487801666666667,0.492336111111109,20.0200030193237,0.0494083333333333,20.7210572510823
"soderlejde","plot_13","before","T",2018,12,30,1,57,99,12.2166666666667,11.8966666666667,16.1,20.6315789473684,16.9646464646465,6.72533002196544,721.502408683259,6.9,3,0.303030303030303,0.121212121212121,0.575757575757576,0.686868686868687,0.01,3.53826694444446,1.49246944444445,20.218947368421,0.216008333333333,23.7434364478115
"soderlejde","plot_13","after","T",2018,7,7,1,39,53,11.7142857142857,15.0857142857143,6.7,21.4692307692308,19.3377358490566,6.20214684962127,233.427249868113,6.2,3,0.132075471698113,0.132075471698113,0.735849056603774,0.415094339622642,0.0185185185185185,1.32754285714286,0.800476190476188,14.9801557692308,0.0374083333333333,16.5160378930818
"soderlejde","plot_17","before","C",2018,4,18,2,45,67,13.075,14.2666666666667,11.65,21.6177777777778,19.1328358208955,6.58295291711861,742.723067762178,11.55,3,0.26865671641791,0.0597014925373134,0.671641791044776,1.04477611940298,0.0289855072463768,3.05306666666668,0.569852083333333,17.5248118518519,0.226204166666667,20.4386518656716
"soderlejde","plot_17","after","C",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soderlejde","plot_19","before","T",2018,8,1,1,58,67,11.8,18.5,5.6,18.9137931034483,18.0582089552239,5.79085353141856,42.4413181578388,13.4,3,0.0149253731343284,0.119402985074627,0.865671641791045,0.0597014925373134,0.0147058823529412,0.285208333333333,0.928266666666667,17.2903591954023,0.0261333333333333,18.2071891791045
"soderlejde","plot_19","after","T",2018,5,0,2,39,44,14.56,0,14.4,20.1,19.4704545454545,5.39231061253632,0,14.25,2,0,0.113636363636364,0.886363636363636,0,0.0434782608695652,0,0.883306666666667,13.130325,0.3456,13.9002820075757
"soderlejde","plot_20","before","C",2018,3,39,7,45,87,17.7,12.5051282051282,11.1142857142857,28.4288888888889,20.9206896551724,10.4458196593687,997.370976709211,6.35,4,0.448275862068966,0.0344827586206897,0.517241379310345,1.08045977011494,0.074468085106383,5.08229252136752,0.783225,30.3075646296296,0.720576190476189,31.7314560344827
"soderlejde","plot_20","after","C",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sigtuna","plot_201","before","TC",2018,0,10,1,50,60,0,10.24,12.1,22.728,20.6466666666667,9.48591224255455,466.854499736226,14.05,3,0.166666666666667,0,0.833333333333333,0.733333333333333,0.0163934426229508,0.873813333333333,0,21.523416,0.122008333333333,21.3142422222223
